caller_file|caller_name|caller_type|callee_name|call_line
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|DoesRuleApply|Function|l_obj.DoesRuleApply|DoesRuleApply = l_obj.DoesRuleApply(v_lngRuleNum, v_lngBusType, v_strValue)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetEmployees|Function|dbEmployee.GetEmployee|Set rsEmployee = dbEmployee.GetEmployee(v_aryEmployees)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetPPMProjectPeriod|Function|lobjWgMgr.ProjectEndDate|lobjWgMgr.ProjectEndDate(v_lngWgNum))
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetPPMProjectPeriod|Function|lobjWgMgr.ProjectID|If lobjWgMgr.ProjectID(v_lngWgNum) <> 0 Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetPPMProjectPeriod|Function|lobjWgMgr.ProjectStartDate|Array(lobjWgMgr.ProjectStartDate(v_lngWgNum), _
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetPayrollGroupForDept|Function|l_obj.GetPayrollGroup|GetPayrollGroupForDept = l_obj.GetPayrollGroup(v_strDept)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetProjectId|Function|lobjWgMgr.ProjectID|GetProjectId = lobjWgMgr.ProjectID(v_lngWgNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoByChargeDate|Function|CompanyCode|CompanyCode(l_datChargeDate), l_datChargeDate) Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoByChargeDate|Function|l_dbEffectiveDateRules.DoesEffectiveDateRuleApply|If l_dbEffectiveDateRules.DoesEffectiveDateRuleApply(dbRules.TRSRuleCode.trAICDeptCutOverEffDate, trCompanyCode, _
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoByChargeDate|Function|l_dbRules.GetRuleReverseLookup|l_strAICOldDepartment = l_dbRules.GetRuleReverseLookup(dbRules.TRSRuleCode.trAICDeptMapping, trDepartmentNumber, l_strEffectiveDepartment)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoDepartmentInfo|Sub|l_obj.GetAccountDivision|l_strAcctDivNum = l_obj.GetAccountDivision(l_strDept)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoDepartmentInfo|Sub|l_obj.GetAccountType|l_strAcctType = l_obj.GetAccountType(l_strDept)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetValidateDistIdInfoDepartmentInfo|Sub|l_obj.GetCompanyCode|l_strCompanyCode = l_obj.GetCompanyCode(l_strDept)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|GetWorkgroupLocationCode|Function|lobjWgMgr.LocationCode|GetWorkgroupLocationCode = lobjWgMgr.LocationCode(v_lngWgNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsAmerenCILCODispatch|Function|l_obj.IsAmerenCILCODispatch|If l_obj.IsAmerenCILCODispatch(l_strDept) Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsAmerenCIPSorCILCO|Function|l_obj.IsAmerenCIPSorCILCO|IsAmerenCIPSorCILCO = l_obj.IsAmerenCIPSorCILCO(v_lngRuleNum, l_strDept, l_strCompany, l_strUnionCode, l_datChargeDate, l_strPayrollGroupCd)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsCoffeen|Function|IsCoffeenOperations|IsCoffeenOperations(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsCoffeenMaintenance|Function|l_obj.IsCoffeenMaintenance|If l_obj.IsCoffeenMaintenance(l_strDept) Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsCoffeenOperations|Function|l_obj.IsCoffeenOperations|If l_obj.IsCoffeenOperations(l_strDept) Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsDOJM|Function|CreateObject|"CreateObject(""busDepartment.cbsDepartment"")"
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsEdwardsOperations|Function|l_obj.IsEdwardsOperations|If l_obj.IsEdwardsOperations(l_strDept) Then
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsEntitledToSaturdayPremium|Function|IsStringInList|"IsStringInList(UnionCode, Array(""JA"", ""TA"", ""FA"", ""JB"", ""TB""))"
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|IsSubstationOrTransmission|Function|IsSubstationOrTransmissionEmployee|IsSubstationOrTransmissionEmployee(l_strUnionCd, l_strDeptNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|RestoreBasic|Sub|dbEmployee.GetEmployee|Set rsEmployee = dbEmployee.GetEmployee(v_lngEmpId)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\boServer\boCommonLib\cboEmployee.cls|RestoreWorkgroups|Sub|dbWorkGroup.GetEmployeeWorkGroups|Set rsWorkGroups = dbWorkGroup.GetEmployeeWorkGroups( _
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetOTBankChargeInfoByChargeDate|Function|l_objcboEmployee.GetOTBankChargeInfoByChargeDate|Set GetOTBankChargeInfoByChargeDate = l_objcboEmployee.GetOTBankChargeInfoByChargeDate(v_aryEmployees, v_datStartDate, v_datEndDate, v_rsEmployeeData)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetPPMProjectPeriod|Function|l_objcboEmployee.GetPPMProjectPeriod|GetPPMProjectPeriod = l_objcboEmployee.GetPPMProjectPeriod(v_lngWgNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetPrimaryWorkgroupNumber|Function|l_objcboEmployee.GetPrimaryWorkgroupNumber|GetPrimaryWorkgroupNumber = l_objcboEmployee.GetPrimaryWorkgroupNumber(v_strChargeDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetProjectId|Function|l_objcboEmployee.GetProjectId|GetProjectId = l_objcboEmployee.GetProjectId(v_lngWgNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetTimeIncrementByChargeDate|Function|l_objcboEmployee.GetTimeIncrementByChargeDate|Set GetTimeIncrementByChargeDate = l_objcboEmployee.GetTimeIncrementByChargeDate(v_aryEmployees, v_datStartDate, v_datEndDate, v_rsEmployeeData)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetValidateDistIdInfoByChargeDate|Function|l_objcboEmployee.GetValidateDistIdInfoByChargeDate|Set GetValidateDistIdInfoByChargeDate = l_objcboEmployee.GetValidateDistIdInfoByChargeDate(v_aryEmployees, v_datStartDate, v_datEndDate, v_rsEmployeeData)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetWorkgroupLocationCode|Function|l_objcboEmployee.GetWorkgroupLocationCode|GetWorkgroupLocationCode = l_objcboEmployee.GetWorkgroupLocationCode(v_lngWgNum)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|GetWorkgroups|Function|l_objcboEmployee.GetWorkgroups|Set GetWorkgroups = l_objcboEmployee.GetWorkgroups()
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCILCO|Function|l_objcboEmployee.IsAmerenCILCO|IsAmerenCILCO = l_objcboEmployee.IsAmerenCILCO(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCILCODispatch|Function|l_objcboEmployee.IsAmerenCILCODispatch|IsAmerenCILCODispatch = l_objcboEmployee.IsAmerenCILCODispatch(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCILCOLocal8Employee|Function|l_objcboEmployee.IsAmerenCILCOLocal8Employee|IsAmerenCILCOLocal8Employee = l_objcboEmployee.IsAmerenCILCOLocal8Employee(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCIPS|Function|l_objcboEmployee.IsAmerenCIPS|IsAmerenCIPS = l_objcboEmployee.IsAmerenCIPS(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCIPSBenefitParticipant|Function|l_objcboEmployee.IsAmerenCIPSBenefitParticipant|IsAmerenCIPSBenefitParticipant = l_objcboEmployee.IsAmerenCIPSBenefitParticipant(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenCIPSorCILCOTest|Function|l_objcboEmployee.IsAmerenCIPSorCILCOTest|IsAmerenCIPSorCILCOTest = l_objcboEmployee.IsAmerenCIPSorCILCOTest(v_lngRuleNum, v_lngEmpId, v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenIPBenefitParticipant|Function|l_objcboEmployee.IsAmerenIPBenefitParticipant|IsAmerenIPBenefitParticipant = l_objcboEmployee.IsAmerenIPBenefitParticipant(v_datChgDate)
C:\Users\ramsh\OneDrive\Desktop\Sunder_Extraction\VbNet_Extractor\input_code\COM Server\busProxy\boCommonLibProxy\cboEmployeeProxy.cls|IsAmerenLeadership|Function|l_objcboEmployee.IsAmerenLeadership|IsAmerenLeadership = l_objcboEmployee.IsAmerenLeadership(v_datChgDate)
