caller_component|callee_component|caller_layer|callee_layer
cboEmployee|l_obj|ExternalOrShared|ExternalOrShared
cboEmployee|dbEmployee|ExternalOrShared|DataAccess
cboEmployee|lobjWgMgr|ExternalOrShared|ExternalOrShared
cboEmployee|AMBIG::CompanyCode|ExternalOrShared|ExternalOrShared
cboEmployee|l_dbEffectiveDateRules|ExternalOrShared|ExternalOrShared
cboEmployee|l_dbRules|ExternalOrShared|ExternalOrShared
cboEmployee|AMBIG::IsCoffeenOperations|ExternalOrShared|ExternalOrShared
cboEmployee|CreateObject|ExternalOrShared|ExternalOrShared
cboEmployee|AMBIG::IsStringInList|ExternalOrShared|ExternalOrShared
cboEmployee|AMBIG::IsSubstationOrTransmissionEmployee|ExternalOrShared|ExternalOrShared
cboEmployee|dbWorkGroup|ExternalOrShared|DataAccess
cboEmployeeProxy|l_objcboEmployee|ExternalOrShared|ExternalOrShared
cbsCodeTablesProxy|l_objcbsCodeTables|ServiceClass|ExternalOrShared
cbsCodeTablesTransProxy|l_objcbsCodeTablesTrans|ServiceClass|ExternalOrShared
cbsColPdProxy|l_objcbsCollectionPeriod|ServiceClass|ExternalOrShared
cbsDepartmentProxy|l_objcbsDepartment|ServiceClass|ExternalOrShared
cbsDistMgrProxy|l_objcbsDistributionMgr|ServiceClass|ExternalOrShared
cbsEmployeeProxy|l_objcbsEmployee|ServiceClass|ExternalOrShared
cbsEmployeeTransProxy|l_objcbsEmployeeTrans|ServiceClass|ExternalOrShared
cbsRotProxy|l_objcbsSchedRotation|ServiceClass|ExternalOrShared
cbsRotTransProxy|l_objcbsSchedRotationTrans|ServiceClass|ExternalOrShared
cbsScheduleProxy|l_objcbsSchedule|ServiceClass|ExternalOrShared
cbsSysAdminProxy|l_objcbsSysAdmin|ServiceClass|ExternalOrShared
cbsWorkGrpProxy|l_objcbsWorkGroup|ServiceClass|ExternalOrShared
cbsWorkGrpTransProxy|l_objcbsWorkGroupTrans|ServiceClass|ExternalOrShared
cdCodeTablesProxy|l_objcdCodeTables|ServiceClass|ExternalOrShared
cdCodeTablesTransProxy|l_objcdCodeTablesTrans|ServiceClass|ExternalOrShared
cdColPdProxy|l_objcdCollectionPeriod|ServiceClass|ExternalOrShared
cdDepartmentProxy|l_objcdDepartment|ServiceClass|ExternalOrShared
cdEffectiveDateRulesProxy|l_objcdEffectiveDateRules|ServiceClass|ExternalOrShared
